state,action,q_value
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",2,-0.09999999999999995
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",0,-0.09999999999999995
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",1,-0.09999999999999995
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,-0.09999999999999995
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,-0.09999999999999995
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,-0.09999999999999995
"[['O' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",1,-0.09992264459898546
"[['O' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",0,-0.09991404955442829
"[['O' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",2,2.9996865129710044
"[['O' 'O' '.']
 ['O' 'X' '.']
 ['X' 'X' '.']]",0,2.9324148013651827
"[['O' 'O' '.']
 ['O' 'X' '.']
 ['X' 'X' '.']]",1,-0.5592900000000001
"[['O' 'O' '.']
 ['O' 'X' '.']
 ['X' 'X' '.']]",2,0.30000000000000004
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' 'O']]",1,-0.09936373145588641
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' 'O']]",0,-0.09942735831029777
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' 'X' 'O']]",1,-0.040951
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' 'X' 'O']]",0,2.9845386743780398
"[['O' 'O' '.']
 ['O' 'X' 'X']
 ['X' 'X' 'O']]",0,1.9539646797
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",0,-0.09999999999999995
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",1,-0.09999999999999995
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",2,-0.09999999999999995
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.0999999999998859
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",0,-0.09999999999989731
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,-0.09999999999989731
"[['X' 'O' '.']
 ['O' '.' '.']
 ['X' 'O' 'X']]",0,-1.596638773041564
"[['X' 'O' '.']
 ['O' '.' '.']
 ['X' 'O' 'X']]",1,2.999999996415649
"[['.' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",0,-0.5485275731186869
"[['.' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",2,2.9999774948292717
"[['.' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",1,-0.019000000000000003
"[['X' 'O' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",0,-0.9052677172449356
"[['X' 'O' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",2,2.9998334001398237
"[['X' 'O' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",1,-0.046855900000000006
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'O' 'X']]",1,-1.6250577463729738
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'O' 'X']]",0,-1.462150419214387
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",0,-0.09999999999999995
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",1,-0.09999999999999995
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",2,-0.09999999999999995
"[['O' 'X' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",0,-0.09992264459898546
"[['O' 'X' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",2,-0.09992264459898546
"[['O' 'X' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",1,-0.09992264459898546
"[['O' 'X' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,2.9968166501640106
"[['O' 'X' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.034390000000000004
"[['O' 'X' 'O']
 ['.' '.' '.']
 ['X' '.' '.']]",1,-0.09999238226519541
"[['O' 'X' 'O']
 ['.' '.' '.']
 ['X' '.' '.']]",2,-0.09999153585021713
"[['O' 'X' 'O']
 ['X' '.' '.']
 ['X' 'O' '.']]",1,-0.0999823035654572
"[['O' 'X' 'O']
 ['X' '.' '.']
 ['X' 'O' '.']]",2,-0.09998033729495245
"[['O' 'X' 'O']
 ['X' 'X' '.']
 ['X' 'O' 'O']]",1,2.9971349851476097
"[['X' 'O' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",2,-0.09958254420820707
"[['X' 'O' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",1,2.9999999999999982
"[['X' 'O' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",0,-0.0901522909781639
"[['X' 'O' 'O']
 ['.' '.' '.']
 ['X' 'O' 'X']]",1,2.760700670769382
"[['O' 'O' '.']
 ['X' '.' '.']
 ['X' '.' '.']]",0,-0.09999999996963022
"[['O' 'O' '.']
 ['X' '.' '.']
 ['X' '.' '.']]",1,-0.38372343129099995
"[['O' 'O' '.']
 ['X' '.' '.']
 ['X' '.' '.']]",2,-0.5225000511
"[['O' 'O' 'X']
 ['X' 'O' '.']
 ['X' '.' '.']]",2,-1.0134856454097019
"[['O' 'O' 'X']
 ['X' 'O' '.']
 ['X' '.' '.']]",1,-1.5573743794366222
"[['O' '.' '.']
 ['X' '.' '.']
 ['X' 'O' '.']]",0,-0.09999955703072455
"[['O' '.' '.']
 ['X' '.' '.']
 ['X' 'O' '.']]",2,-0.09999955703072455
"[['O' '.' '.']
 ['X' '.' '.']
 ['X' 'O' '.']]",1,-0.09999955703072455
"[['O' 'X' 'O']
 ['X' 'X' 'O']
 ['X' 'O' '.']]",2,0.4999998036995361
"[['O' 'X' 'X']
 ['.' '.' '.']
 ['X' 'O' 'O']]",1,-1.6233932832490865
"[['O' 'O' 'X']
 ['X' '.' '.']
 ['X' 'O' '.']]",2,-1.596638773041564
"[['O' 'O' 'X']
 ['X' '.' '.']
 ['X' 'O' '.']]",1,2.999001031090405
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' 'X' 'O']]",0,-0.09958254420820707
"[['X' 'O' '.']
 ['O' 'X' 'O']
 ['X' 'X' 'O']]",0,2.9999618872957576
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",0,-0.09866972053527089
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",1,-0.09852191170585654
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",2,-0.09866972053527089
"[['O' 'X' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",2,-0.09202335569231276
"[['O' 'X' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",0,1.70859837
"[['O' 'X' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",1,-0.010000000000000002
"[['O' 'X' '.']
 ['O' 'X' 'O']
 ['X' 'O' 'X']]",0,2.9926048958851257
"[['O' 'X' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,-0.09969567472778296
"[['O' 'X' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,-0.09969567472778296
"[['O' 'X' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,-0.09966186080864774
"[['O' 'X' '.']
 ['O' 'X' 'O']
 ['X' '.' '.']]",0,2.8255507889908795
"[['O' 'X' '.']
 ['O' 'X' 'O']
 ['X' '.' '.']]",2,0.30000000000000004
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' '.' '.']]",2,-0.09962428978738637
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' '.' '.']]",0,-0.09966186080864774
