scenario,win,draw,lose
"(0, 0, 0, 1)",18,7,0
"(0, 0, 0, 2)",5,15,5
"(0, 0, 1, 0)",25,0,0
"(0, 0, 1, 1)",25,0,0
"(0, 0, 1, 2)",8,12,5
"(0, 0, 2, 0)",25,0,0
"(0, 0, 2, 1)",11,7,7
"(0, 0, 2, 2)",25,0,0
"(0, 1, 0, 0)",25,0,0
"(0, 1, 0, 1)",25,0,0
"(0, 1, 0, 2)",25,0,0
"(0, 1, 1, 0)",18,7,0
"(0, 1, 1, 1)",25,0,0
"(0, 1, 1, 2)",25,0,0
"(0, 1, 2, 0)",14,7,4
"(0, 1, 2, 1)",12,13,0
"(0, 1, 2, 2)",23,2,0
"(0, 2, 0, 0)",14,0,11
"(0, 2, 0, 1)",25,0,0
"(0, 2, 0, 2)",25,0,0
"(0, 2, 1, 0)",2,13,10
"(0, 2, 1, 1)",0,0,25
"(0, 2, 1, 2)",24,0,1
"(0, 2, 2, 0)",5,20,0
"(0, 2, 2, 1)",25,0,0
"(0, 2, 2, 2)",11,0,14
"(1, 0, 0, 0)",15,10,0
"(1, 0, 0, 1)",11,14,0
"(1, 0, 0, 2)",25,0,0
"(1, 0, 1, 0)",25,0,0
"(1, 0, 1, 1)",14,11,0
"(1, 0, 1, 2)",25,0,0
"(1, 0, 2, 0)",21,0,4
"(1, 0, 2, 1)",0,25,0
"(1, 0, 2, 2)",11,14,0
"(1, 1, 0, 0)",25,0,0
"(1, 1, 0, 1)",25,0,0
"(1, 1, 0, 2)",0,0,25
"(1, 1, 1, 0)",11,14,0
"(1, 1, 1, 2)",0,0,25
"(1, 1, 2, 0)",0,25,0
"(1, 1, 2, 1)",25,0,0
"(1, 1, 2, 2)",25,0,0
"(1, 2, 0, 0)",10,5,10
"(1, 2, 0, 1)",0,0,25
"(1, 2, 0, 2)",19,0,6
"(1, 2, 1, 0)",25,0,0
"(1, 2, 1, 1)",15,10,0
"(1, 2, 1, 2)",25,0,0
"(1, 2, 2, 0)",18,3,4
"(1, 2, 2, 1)",0,25,0
"(1, 2, 2, 2)",0,25,0
"(2, 0, 0, 0)",9,16,0
"(2, 0, 0, 1)",25,0,0
"(2, 0, 0, 2)",10,0,15
"(2, 0, 1, 0)",18,0,7
"(2, 0, 1, 1)",0,25,0
"(2, 0, 1, 2)",13,12,0
"(2, 0, 2, 0)",25,0,0
"(2, 0, 2, 1)",25,0,0
"(2, 0, 2, 2)",12,0,13
"(2, 1, 0, 0)",8,10,7
"(2, 1, 0, 1)",8,17,0
"(2, 1, 0, 2)",19,6,0
"(2, 1, 1, 0)",25,0,0
"(2, 1, 1, 1)",25,0,0
"(2, 1, 1, 2)",25,0,0
"(2, 1, 2, 0)",25,0,0
"(2, 1, 2, 1)",25,0,0
"(2, 1, 2, 2)",9,16,0
"(2, 2, 0, 0)",25,0,0
"(2, 2, 0, 1)",20,5,0
"(2, 2, 0, 2)",25,0,0
"(2, 2, 1, 0)",12,13,0
"(2, 2, 1, 1)",25,0,0
"(2, 2, 1, 2)",25,0,0
"(2, 2, 2, 0)",12,13,0
"(2, 2, 2, 1)",10,8,7
