state,action,q_value
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",1,0.3889368421052618
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",2,0.284390170708362
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['.' '.' '.']]",2,0.5432631578947356
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['.' '.' '.']]",1,0.25263157894736926
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",2,0.7147368421052622
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",1,0.12736842397351714
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' 'X' '.']]",2,0.9052631578947363
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' 'X' '.']]",1,0.2526315796115557
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' 'X' 'O']]",1,0.9999999999999996
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' '.' '.']]",2,0.3608714047618324
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' '.' '.']]",1,0.13068818399798596
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,-2.960091616058127
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,0.2526315789474245
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,0.2531092902142928
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,0.23543604460430115
"[['X' 'O' 'X']
 ['O' 'O' 'X']
 ['X' '.' '.']]",2,-2.9994691069637156
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' 'X' '.']]",1,-2.5947444846981025
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' 'X' '.']]",2,0.17281000000000002
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' 'X']]",1,-2.9999999999999374
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['O' 'X' '.']]",2,-2.999999999262014
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['.' '.' '.']]",2,-2.9999999999999982
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.19
"[['X' 'O' 'X']
 ['O' 'X' 'X']
 ['O' '.' '.']]",2,0.25263157908411865
"[['X' 'O' 'X']
 ['O' 'X' 'X']
 ['O' 'O' '.']]",2,-2.9999999998480553
