state,action,q_value
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",2,-0.0999998093162519
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",1,-0.0999998093162519
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,-0.09962428978738637
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.09958254420820707
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.07941088679053511
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,2.9998148890442486
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['.' '.' '.']]",2,2.9971349851476097
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",1,-0.09576088417247838
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",2,-0.09528987130275376
"[['X' 'O' 'X']
 ['O' 'X' 'X']
 ['O' 'O' '.']]",2,2.8728265251743514
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.911370618803475
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' 'X' 'O']]",1,0.9656631617970749
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['O' 'X' '.']]",2,2.8061675433231996
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' '.' '.']]",1,-0.0999998093162519
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' '.' '.']]",2,-0.0999998093162519
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,-0.09972610725500466
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.09972610725500466
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",1,-0.09962428978738637
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",2,-0.09958254420820707
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' 'X' 'O']]",1,-0.09991404955442829
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' 'X' 'O']]",1,0.9999950781191616
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['O' 'X' '.']]",2,-0.09528987130275376
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['O' 'X' '.']]",1,-0.09528987130275376
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['O' 'X' 'X']]",1,2.8586961390826127
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['O' 'X' '.']]",2,0.9202335569231275
"[['X' 'O' 'X']
 ['X' 'X' 'O']
 ['O' 'O' '.']]",2,2.9979114041726076
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['.' '.' '.']]",1,-0.09993038013908692
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['.' '.' '.']]",2,2.9999999843319314
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' '.' '.']]",1,2.9917832176501395
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' '.' '.']]",2,-0.027100000000000006
"[['X' 'O' 'O']
 ['X' 'X' 'O']
 ['.' '.' '.']]",2,2.9507303901952184
"[['X' 'O' 'O']
 ['X' 'X' 'O']
 ['O' 'X' '.']]",2,2.05856821173
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.07941088679053511
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",2,2.9999999998769247
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",1,-0.056953279
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['.' '.' '.']]",2,1.5651093
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",2,-0.040951
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' 'X' 'O']]",0,0.5695327900000001
"[['X' 'O' 'O']
 ['X' 'O' 'X']
 ['.' '.' '.']]",2,0.8130000000000001
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",1,-0.09998407320891148
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",2,-0.09998407320891148
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",0,-0.09998566588802033
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' '.' '.']]",0,-0.0947665236697264
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' '.' '.']]",2,-0.040951
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",0,-0.08784233454094308
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",2,0.30000000000000004
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",1,-0.0814697981114816
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",2,-0.07941088679053511
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",1,-0.068618940391
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",0,-0.068618940391
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' 'X' 'O']]",0,0.5217031000000001
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",2,-0.06513215599
