state,action,q_value
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['.' '.' '.']]",2,2.9999999999999982
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' 'X' 'X']
 ['O' 'O' '.']]",2,2.9999999999999982
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.2282838465200093
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,-0.5736841590011557
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.9999999999999996
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.5736842100266383
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,2.9999999999999982
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' 'X' 'O']]",1,0.9999999999999715
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['O' 'X' '.']]",2,2.9999999999999587
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,-0.5736842105150588
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.5328936425315465
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",1,-0.5736842105242299
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' 'X' 'O']]",1,0.9999999999999996
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['O' 'X' '.']]",2,0.9999999999999996
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' 'X' 'O']]",1,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['O' 'X' '.']]",2,-0.09999999999667697
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['O' 'X' '.']]",1,-0.09999999999700927
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['O' 'X' 'X']]",1,2.99999999997466
"[['X' 'O' 'X']
 ['X' 'X' 'O']
 ['O' 'O' '.']]",2,2.9999999999999982
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['.' '.' '.']]",1,-0.0997534965295042
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['.' '.' '.']]",2,2.9999999999999982
"[['X' 'O' 'O']
 ['X' 'X' 'O']
 ['.' '.' '.']]",2,2.8586961390826127
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' '.' '.']]",2,-0.0947665236697264
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' '.' '.']]",1,2.999998939977495
"[['X' 'O' 'O']
 ['X' 'X' 'O']
 ['O' 'X' '.']]",2,2.999999999994203
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' 'X' 'O']]",1,2.999999999998181
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",2,2.9999999999999982
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.0999823035654572
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",1,-0.0999630011514965
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",2,-2.422644764396494
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",0,-0.5736842105263157
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' 'X' 'O']]",0,0.9999999999999996
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['.' '.' '.']]",2,2.960091616058127
"[['X' 'O' 'O']
 ['X' 'O' 'X']
 ['.' '.' '.']]",2,2.784630603692444
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",0,-0.09999999999999995
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",0,-0.45349839184382423
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",1,2.999998384358322
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",2,1.70859837
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' '.' '.']]",2,-0.09999999999991682
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' '.' '.']]",0,-0.09999999999991682
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' 'X' 'O']]",0,0.9999999999999996
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",1,-0.09999999999999995
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",0,-0.09999999999999995
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",1,-2.7589632771910706
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",0,-0.09999999999999995
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",2,-1.5046142606528985
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",1,-0.0999999999922804
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",2,-2.472001757627829
"[['X' 'O' '.']
 ['X' 'O' 'O']
 ['O' 'X' 'X']]",0,0.9999999999999996
"[['X' 'O' 'O']
 ['.' '.' '.']
 ['X' '.' '.']]",1,2.9999999999999982
"[['X' 'O' 'O']
 ['.' '.' '.']
 ['X' '.' '.']]",2,-0.09988209815422262
"[['X' 'O' 'O']
 ['O' '.' '.']
 ['X' 'X' '.']]",1,-0.07458134171671
