scenario,win,draw,lose
"(0, 0, 0, 1)",100,0,0
"(0, 0, 0, 2)",20,80,0
"(0, 0, 1, 0)",100,0,0
"(0, 0, 1, 1)",40,60,0
"(0, 0, 1, 2)",100,0,0
"(0, 0, 2, 0)",100,0,0
"(0, 0, 2, 1)",100,0,0
"(0, 0, 2, 2)",100,0,0
"(0, 1, 0, 0)",100,0,0
"(0, 1, 0, 1)",39,61,0
"(0, 1, 0, 2)",100,0,0
"(0, 1, 1, 0)",100,0,0
"(0, 1, 1, 1)",100,0,0
"(0, 1, 1, 2)",100,0,0
"(0, 1, 2, 0)",100,0,0
"(0, 1, 2, 1)",53,47,0
"(0, 1, 2, 2)",84,16,0
"(0, 2, 0, 0)",40,0,60
"(0, 2, 0, 1)",100,0,0
"(0, 2, 0, 2)",52,0,48
"(0, 2, 1, 0)",100,0,0
"(0, 2, 1, 1)",0,24,76
"(0, 2, 1, 2)",78,0,22
"(0, 2, 2, 0)",27,73,0
"(0, 2, 2, 1)",100,0,0
"(0, 2, 2, 2)",50,0,50
"(1, 0, 0, 0)",46,54,0
"(1, 0, 0, 1)",48,52,0
"(1, 0, 0, 2)",87,13,0
"(1, 0, 1, 0)",100,0,0
"(1, 0, 1, 1)",51,49,0
"(1, 0, 1, 2)",100,0,0
"(1, 0, 2, 0)",74,0,26
"(1, 0, 2, 1)",0,100,0
"(1, 0, 2, 2)",82,18,0
"(1, 1, 0, 0)",44,56,0
"(1, 1, 0, 1)",100,0,0
"(1, 1, 0, 2)",0,32,68
"(1, 1, 1, 0)",48,52,0
"(1, 1, 1, 2)",0,26,74
"(1, 1, 2, 0)",0,100,0
"(1, 1, 2, 1)",100,0,0
"(1, 1, 2, 2)",49,31,20
"(1, 2, 0, 0)",100,0,0
"(1, 2, 0, 1)",0,30,70
"(1, 2, 0, 2)",71,0,29
"(1, 2, 1, 0)",100,0,0
"(1, 2, 1, 1)",100,0,0
"(1, 2, 1, 2)",100,0,0
"(1, 2, 2, 0)",88,12,0
"(1, 2, 2, 1)",0,100,0
"(1, 2, 2, 2)",50,50,0
"(2, 0, 0, 0)",46,0,54
"(2, 0, 0, 1)",100,0,0
"(2, 0, 0, 2)",55,0,45
"(2, 0, 1, 0)",79,0,21
"(2, 0, 1, 1)",0,100,0
"(2, 0, 1, 2)",83,17,0
"(2, 0, 2, 0)",51,0,49
"(2, 0, 2, 1)",100,0,0
"(2, 0, 2, 2)",50,0,50
"(2, 1, 0, 0)",100,0,0
"(2, 1, 0, 1)",53,47,0
"(2, 1, 0, 2)",82,18,0
"(2, 1, 1, 0)",100,0,0
"(2, 1, 1, 1)",100,0,0
"(2, 1, 1, 2)",79,21,0
"(2, 1, 2, 0)",100,0,0
"(2, 1, 2, 1)",54,46,0
"(2, 1, 2, 2)",100,0,0
"(2, 2, 0, 0)",100,0,0
"(2, 2, 0, 1)",84,16,0
"(2, 2, 0, 2)",100,0,0
"(2, 2, 1, 0)",86,14,0
"(2, 2, 1, 1)",49,27,24
"(2, 2, 1, 2)",100,0,0
"(2, 2, 2, 0)",23,77,0
"(2, 2, 2, 1)",80,20,0
