scenario,win,draw,lose
"(0, 0, 0, 1)",100,0,0
"(0, 0, 0, 2)",24,51,25
"(0, 0, 1, 0)",100,0,0
"(0, 0, 1, 1)",57,43,0
"(0, 0, 1, 2)",25,42,33
"(0, 0, 2, 0)",100,0,0
"(0, 0, 2, 1)",44,26,30
"(0, 0, 2, 2)",100,0,0
"(0, 1, 0, 0)",100,0,0
"(0, 1, 0, 1)",100,0,0
"(0, 1, 0, 2)",100,0,0
"(0, 1, 1, 0)",100,0,0
"(0, 1, 1, 1)",100,0,0
"(0, 1, 1, 2)",100,0,0
"(0, 1, 2, 0)",59,19,22
"(0, 1, 2, 1)",50,50,0
"(0, 1, 2, 2)",78,22,0
"(0, 2, 0, 0)",42,0,58
"(0, 2, 0, 1)",100,0,0
"(0, 2, 0, 2)",100,0,0
"(0, 2, 1, 0)",25,47,28
"(0, 2, 1, 1)",0,25,75
"(0, 2, 1, 2)",80,0,20
"(0, 2, 2, 0)",51,49,0
"(0, 2, 2, 1)",100,0,0
"(0, 2, 2, 2)",39,0,61
"(1, 0, 0, 0)",45,55,0
"(1, 0, 0, 1)",56,44,0
"(1, 0, 0, 2)",100,0,0
"(1, 0, 1, 0)",100,0,0
"(1, 0, 1, 1)",50,50,0
"(1, 0, 1, 2)",100,0,0
"(1, 0, 2, 0)",75,0,25
"(1, 0, 2, 1)",0,100,0
"(1, 0, 2, 2)",50,50,0
"(1, 1, 0, 0)",54,46,0
"(1, 1, 0, 1)",100,0,0
"(1, 1, 0, 2)",0,21,79
"(1, 1, 1, 0)",43,57,0
"(1, 1, 1, 2)",0,22,78
"(1, 1, 2, 0)",0,100,0
"(1, 1, 2, 1)",100,0,0
"(1, 1, 2, 2)",100,0,0
"(1, 2, 0, 0)",18,48,34
"(1, 2, 0, 1)",0,22,78
"(1, 2, 0, 2)",79,0,21
"(1, 2, 1, 0)",100,0,0
"(1, 2, 1, 1)",87,13,0
"(1, 2, 1, 2)",100,0,0
"(1, 2, 2, 0)",64,17,19
"(1, 2, 2, 1)",0,100,0
"(1, 2, 2, 2)",0,100,0
"(2, 0, 0, 0)",31,69,0
"(2, 0, 0, 1)",100,0,0
"(2, 0, 0, 2)",52,0,48
"(2, 0, 1, 0)",71,0,29
"(2, 0, 1, 1)",0,100,0
"(2, 0, 1, 2)",51,49,0
"(2, 0, 2, 0)",55,0,45
"(2, 0, 2, 1)",100,0,0
"(2, 0, 2, 2)",59,0,41
"(2, 1, 0, 0)",57,23,20
"(2, 1, 0, 1)",46,54,0
"(2, 1, 0, 2)",81,19,0
"(2, 1, 1, 0)",100,0,0
"(2, 1, 1, 1)",100,0,0
"(2, 1, 1, 2)",82,18,0
"(2, 1, 2, 0)",100,0,0
"(2, 1, 2, 1)",50,50,0
"(2, 1, 2, 2)",25,75,0
"(2, 2, 0, 0)",100,0,0
"(2, 2, 0, 1)",86,14,0
"(2, 2, 0, 2)",100,0,0
"(2, 2, 1, 0)",50,50,0
"(2, 2, 1, 1)",100,0,0
"(2, 2, 1, 2)",100,0,0
"(2, 2, 2, 0)",50,50,0
"(2, 2, 2, 1)",53,26,21
