scenario,win,draw,lose
"(0, 0, 0, 1)",100,0,0
"(0, 0, 0, 2)",15,50,35
"(0, 0, 1, 0)",100,0,0
"(0, 0, 1, 1)",100,0,0
"(0, 0, 1, 2)",23,39,38
"(0, 0, 2, 0)",100,0,0
"(0, 0, 2, 1)",47,25,28
"(0, 0, 2, 2)",100,0,0
"(0, 1, 0, 0)",100,0,0
"(0, 1, 0, 1)",100,0,0
"(0, 1, 0, 2)",100,0,0
"(0, 1, 1, 0)",100,0,0
"(0, 1, 1, 1)",100,0,0
"(0, 1, 1, 2)",100,0,0
"(0, 1, 2, 0)",53,24,23
"(0, 1, 2, 1)",49,51,0
"(0, 1, 2, 2)",80,20,0
"(0, 2, 0, 0)",50,0,50
"(0, 2, 0, 1)",100,0,0
"(0, 2, 0, 2)",100,0,0
"(0, 2, 1, 0)",25,48,27
"(0, 2, 1, 1)",0,0,100
"(0, 2, 1, 2)",77,0,23
"(0, 2, 2, 0)",62,38,0
"(0, 2, 2, 1)",100,0,0
"(0, 2, 2, 2)",50,0,50
"(1, 0, 0, 0)",45,55,0
"(1, 0, 0, 1)",47,53,0
"(1, 0, 0, 2)",100,0,0
"(1, 0, 1, 0)",100,0,0
"(1, 0, 1, 1)",52,48,0
"(1, 0, 1, 2)",100,0,0
"(1, 0, 2, 0)",73,0,27
"(1, 0, 2, 1)",0,100,0
"(1, 0, 2, 2)",56,44,0
"(1, 1, 0, 0)",100,0,0
"(1, 1, 0, 1)",100,0,0
"(1, 1, 0, 2)",0,0,100
"(1, 1, 1, 0)",50,50,0
"(1, 1, 1, 2)",0,0,100
"(1, 1, 2, 0)",0,100,0
"(1, 1, 2, 1)",100,0,0
"(1, 1, 2, 2)",100,0,0
"(1, 2, 0, 0)",23,58,19
"(1, 2, 0, 1)",0,0,100
"(1, 2, 0, 2)",76,0,24
"(1, 2, 1, 0)",100,0,0
"(1, 2, 1, 1)",100,0,0
"(1, 2, 1, 2)",100,0,0
"(1, 2, 2, 0)",78,9,13
"(1, 2, 2, 1)",0,100,0
"(1, 2, 2, 2)",0,100,0
"(2, 0, 0, 0)",15,85,0
"(2, 0, 0, 1)",100,0,0
"(2, 0, 0, 2)",51,0,49
"(2, 0, 1, 0)",83,0,17
"(2, 0, 1, 1)",0,100,0
"(2, 0, 1, 2)",52,48,0
"(2, 0, 2, 0)",100,0,0
"(2, 0, 2, 1)",100,0,0
"(2, 0, 2, 2)",56,0,44
"(2, 1, 0, 0)",60,17,23
"(2, 1, 0, 1)",43,57,0
"(2, 1, 0, 2)",86,14,0
"(2, 1, 1, 0)",100,0,0
"(2, 1, 1, 1)",100,0,0
"(2, 1, 1, 2)",100,0,0
"(2, 1, 2, 0)",100,0,0
"(2, 1, 2, 1)",100,0,0
"(2, 1, 2, 2)",20,80,0
"(2, 2, 0, 0)",100,0,0
"(2, 2, 0, 1)",82,18,0
"(2, 2, 0, 2)",100,0,0
"(2, 2, 1, 0)",52,48,0
"(2, 2, 1, 1)",100,0,0
"(2, 2, 1, 2)",100,0,0
"(2, 2, 2, 0)",49,51,0
"(2, 2, 2, 1)",49,23,28
