state,action,q_value
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",0,-0.31653903014125473
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",1,-0.316538903430827
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",2,-0.31649938865319915
"[['X' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",1,-0.310724200090855
"[['X' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",0,-0.324468382506626
"[['X' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",2,-0.24059882907436927
"[['X' '.' '.']
 ['O' '.' '.']
 ['.' '.' '.']]",1,-0.2594105717367477
"[['X' '.' '.']
 ['O' '.' '.']
 ['.' '.' '.']]",2,-0.22678390226277656
"[['X' '.' '.']
 ['O' '.' '.']
 ['.' '.' '.']]",0,-0.47098212705085524
"[['X' '.' '.']
 ['O' 'X' '.']
 ['.' '.' '.']]",1,-0.2515879371272623
"[['X' '.' '.']
 ['O' 'X' '.']
 ['.' '.' '.']]",2,-0.2791138439293365
"[['X' '.' '.']
 ['O' 'X' 'O']
 ['.' '.' '.']]",0,-0.3032746090269815
"[['X' '.' '.']
 ['O' 'X' 'O']
 ['.' '.' '.']]",2,-0.3600086657131046
"[['X' 'X' '.']
 ['O' 'X' 'O']
 ['.' '.' '.']]",0,-0.46357456755417026
"[['X' 'X' 'O']
 ['O' 'X' 'O']
 ['.' '.' '.']]",2,-0.5971733186570136
"[['X' 'X' 'O']
 ['O' 'X' 'O']
 ['X' '.' '.']]",2,-0.49573940330266475
"[['X' 'X' 'O']
 ['O' 'X' 'O']
 ['X' 'O' '.']]",2,2.8855438726569163
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,-0.062467632114942356
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,-0.31456178575775257
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,-0.33442822056225396
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,-0.27969010603544925
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",0,0.04170263157894163
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.3988928391801262
"[['X' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",0,-0.8625212841293987
"[['X' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",1,-0.4811719180390793
"[['X' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",2,-0.12390483922115511
"[['X' 'O' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",0,2.382326603716053
"[['X' 'O' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",2,0.8130000000000001
"[['.' '.' '.']
 ['X' '.' '.']
 ['.' '.' '.']]",1,-0.3125436222885935
"[['.' '.' '.']
 ['X' '.' '.']
 ['.' '.' '.']]",0,-0.24059878158063325
"[['.' '.' '.']
 ['X' '.' '.']
 ['.' '.' '.']]",2,-0.302223176455429
"[['.' '.' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",1,-0.25939315110066424
"[['.' '.' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.2717657851750127
"[['.' '.' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",2,-0.358845594969601
"[['.' '.' '.']
 ['X' 'O' 'X']
 ['.' '.' '.']]",0,-0.18967987645281367
"[['O' '.' '.']
 ['X' 'O' 'X']
 ['.' '.' '.']]",2,-0.4186159899220955
"[['O' '.' '.']
 ['X' 'O' 'X']
 ['.' '.' '.']]",0,-0.09691954664744895
"[['O' '.' '.']
 ['X' 'O' 'X']
 ['X' '.' '.']]",2,-0.6766283116070142
"[['O' '.' '.']
 ['X' 'O' 'X']
 ['X' 'O' '.']]",2,-0.4103428973212527
"[['O' '.' '.']
 ['X' 'O' 'X']
 ['X' 'O' 'X']]",0,2.9998334001398237
"[['X' '.' '.']
 ['O' 'X' 'O']
 ['X' 'O' '.']]",0,-0.4072679192156668
"[['X' '.' '.']
 ['O' 'X' 'O']
 ['X' 'O' '.']]",2,1.70859837
"[['X' 'X' '.']
 ['O' 'X' 'O']
 ['X' 'O' '.']]",2,-0.6961719000000001
"[['X' 'X' '.']
 ['O' 'X' 'O']
 ['X' 'O' '.']]",0,-0.5152268577105892
"[['X' 'X' '.']
 ['O' 'X' 'O']
 ['X' 'O' 'O']]",0,1.2285300000000001
"[['X' 'X' '.']
 ['O' '.' '.']
 ['.' '.' '.']]",1,-0.9360100895791449
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['.' '.' '.']]",0,1.837738533
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",1,-0.2405988103130329
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",0,-0.2405987815789586
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",2,-0.24058806071244843
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,-0.15622087416145772
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,-0.2629229669172154
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,-0.2739501493458447
"[['X' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' 'O']]",1,-0.540814448514654
"[['X' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' 'O']]",0,0.1513250037876389
"[['X' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' 'O']]",0,-0.49406836402436793
"[['X' 'O' '.']
 ['O' 'X' 'X']
 ['X' 'O' 'O']]",0,2.8255507889908795
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",2,-0.1923643197638708
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",1,-0.1984106669536007
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",0,-0.18659180125924243
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",1,-0.1810554133475966
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",0,-0.17088470924309876
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",2,-0.3099825775732945
"[['.' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' '.']]",2,-0.33065222982149667
"[['.' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' 'O']]",0,-0.5398091352913587
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' '.' '.']]",2,-0.26923979144737853
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' 'X' '.']]",2,-0.4215369452536946
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' 'X' '.']]",0,-0.5349900000000001
"[['.' '.' '.']
 ['O' 'X' 'O']
 ['X' 'X' 'O']]",0,-0.6355506295071285
"[['X' '.' '.']
 ['O' 'X' 'O']
 ['X' 'X' 'O']]",0,-0.4803257609514768
"[['X' 'O' '.']
 ['O' 'X' 'O']
 ['X' 'X' 'O']]",0,2.907290536852102
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",2,-0.22924934641000003
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",0,-0.07847469783903299
"[['O' '.' '.']
 ['O' 'X' '.']
 ['X' 'X' '.']]",0,-0.8791397535899999
"[['O' 'O' '.']
 ['O' 'X' '.']
 ['X' 'X' '.']]",2,1.2285300000000001
"[['O' 'X' '.']
 ['X' 'O' 'X']
 ['.' '.' '.']]",0,0.005759820951503266
"[['O' 'X' '.']
 ['X' 'O' 'X']
 ['.' '.' '.']]",2,-0.10027810000000002
