state,action,q_value
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",1,0.22678107134898037
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",2,0.22782036552631457
"[['.' '.' '.']
 ['.' '.' '.']
 ['.' '.' '.']]",0,0.22780635011151878
"[['.' '.' '.']
 ['X' '.' '.']
 ['.' '.' '.']]",2,0.25247744444513126
"[['.' '.' '.']
 ['X' '.' '.']
 ['.' '.' '.']]",1,-0.009996299162286481
"[['.' '.' '.']
 ['X' '.' '.']
 ['.' '.' '.']]",0,0.0025158530329491575
"[['.' '.' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",0,-0.002585093429316017
"[['.' '.' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",2,0.2809039811960784
"[['.' '.' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",1,-0.00010908886182399724
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",0,-0.010494681632492025
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",2,-0.00834330594413756
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",0,-0.015752722331221644
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' '.' '.']]",2,-0.09909262489464901
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' '.' '.']]",1,0.003745606050000001
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.28970823389535094
"[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' '.']]",2,0.5217031000000001
"[['X' 'O' 'X']
 ['X' 'X' '.']
 ['O' 'O' '.']]",1,-0.1
"[['X' 'O' 'X']
 ['X' 'X' 'O']
 ['O' 'O' '.']]",2,0.1
"[['.' '.' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.03717277666863973
"[['X' '.' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.10155098798466371
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.1911924384229023
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['.' '.' '.']]",1,-0.2222817963526298
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['.' '.' '.']]",2,0.8332281830033343
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",2,0.03632675895000001
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",1,-0.1
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' 'X' '.']]",1,0.20141954105000004
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['O' 'X' '.']]",2,0.20475500000000002
"[['X' 'O' 'X']
 ['X' 'O' 'X']
 ['O' '.' '.']]",2,0.1
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,-0.028641493623753005
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' 'O' '.']]",0,-0.224659
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' 'O' 'X']]",0,-0.09875135054961001
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' 'O' 'X']]",1,-0.09875135054961001
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'O' 'X']]",0,-0.30169928545039004
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' 'X']]",1,0.5217031000000001
"[['X' '.' '.']
 ['X' 'O' '.']
 ['O' 'O' 'X']]",1,-0.30169928545039004
"[['X' '.' '.']
 ['X' 'O' 'X']
 ['O' 'O' 'X']]",0,0.5217031000000001
"[['X' 'X' '.']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,0.271
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",1,0.253133739473683
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",0,0.24742890112870816
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",2,0.2516788405732747
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,0.2812597105263147
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,0.2812414721592911
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,0.28075044588320996
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,0.31251078947368327
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,0.3125061037449755
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,0.3095938265363872
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,0.347234210526315
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",0,-0.09192722945493798
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.01892784091548448
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' '.' '.']]",0,0.385815785964259
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' '.' '.']]",2,0.38581578947368356
"[['X' 'O' '.']
 ['O' 'O' 'X']
 ['X' '.' '.']]",0,-0.1281130681021787
"[['X' 'O' '.']
 ['O' 'O' 'X']
 ['X' '.' '.']]",2,0.42868421030933945
"[['X' 'O' 'X']
 ['O' 'O' 'X']
 ['X' '.' '.']]",2,0.9929303495098489
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.04732164017362906
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,0.3472342098152309
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' '.']]",0,0.009535928726298621
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'O' 'X']]",1,-0.09065434998619128
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'O' 'X']]",1,-0.10003468400202038
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'O' 'X']]",0,-0.1729
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' 'O' 'X']]",0,0.9999999999985913
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' 'O' '.']]",0,0.42868421052631533
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' 'O' '.']]",2,-0.10000000000140216
"[['X' 'X' '.']
 ['O' 'O' 'X']
 ['X' 'O' '.']]",0,0.4763157894736839
"[['X' 'X' '.']
 ['O' 'O' 'X']
 ['X' 'O' '.']]",2,-0.10000000041659533
"[['X' 'X' 'O']
 ['O' 'O' 'X']
 ['X' 'O' '.']]",2,0.4999999999999998
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,0.999999646659165
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,0.010802842105263154
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",0,0.0016365726000000006
"[['X' 'O' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",0,-0.10722173082673286
"[['X' 'O' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",1,-0.13161689837699914
"[['X' 'O' '.']
 ['O' '.' '.']
 ['X' '.' '.']]",2,0.346197838037981
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' '.' '.']]",1,-0.11732015947416538
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,-0.11104949221100965
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.1729
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",2,0.3125065523356232
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",0,-0.013180255200000005
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' '.' '.']]",1,-0.0064221725108339015
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",1,-0.0027631796223267
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",0,0.34723353004128765
"[['.' '.' '.']
 ['O' 'X' '.']
 ['X' 'O' '.']]",2,-0.01594489969873956
"[['.' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' '.']]",0,-0.01652428741078531
"[['O' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' '.']]",2,-0.08411285302399187
"[['O' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' '.']]",0,-0.06944911748100001
"[['O' '.' '.']
 ['O' 'X' 'X']
 ['X' 'O' 'X']]",0,-0.28395244626263894
"[['O' 'O' '.']
 ['O' 'X' 'X']
 ['X' 'O' 'X']]",0,0.68618940391
"[['X' 'X' '.']
 ['O' 'O' 'X']
 ['X' 'O' 'O']]",0,0.9999999995371164
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",2,0.31234265436100583
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",1,-0.30211847011481596
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",0,-0.20687869
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' 'O']]",0,0.3471880928563249
"[['.' '.' '.']
 ['O' '.' '.']
 ['X' 'X' 'O']]",1,-0.002329462444315246
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'X' 'O']]",1,0.3858061058402517
"[['X' '.' '.']
 ['O' '.' '.']
 ['X' 'X' 'O']]",0,0.1579457034073646
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",0,-0.23823451201283008
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.4286832883859969
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",0,0.098195
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.6513215599000001
"[['X' 'X' 'O']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.23427950000000003
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",2,-0.0009167461273447124
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",1,0.27796167923037474
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' '.' '.']]",0,0.002987395406628407
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' 'X' '.']]",2,-0.00744553932092929
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' 'X' '.']]",1,-0.1
"[['O' '.' '.']
 ['.' '.' '.']
 ['X' 'X' 'O']]",1,-0.04101410039283072
"[['O' '.' '.']
 ['X' '.' '.']
 ['X' 'X' 'O']]",0,-0.12745520853929923
"[['O' 'O' '.']
 ['X' '.' '.']
 ['X' 'X' 'O']]",0,-0.30211847011481596
"[['O' 'O' '.']
 ['X' '.' '.']
 ['X' 'X' 'O']]",1,-0.1729
"[['O' 'O' 'X']
 ['X' '.' '.']
 ['X' 'X' 'O']]",1,0.5695327900000001
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",0,0.11968928811723259
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",1,0.9999825730661898
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",2,0.19015900230069838
"[['X' 'O' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",1,0.31766528869515426
"[['X' 'O' '.']
 ['O' 'O' 'X']
 ['X' 'X' '.']]",0,-0.1789316438986497
"[['X' 'O' '.']
 ['O' 'O' 'X']
 ['X' 'X' '.']]",2,0.4763157894736839
"[['X' 'O' 'O']
 ['O' 'O' 'X']
 ['X' 'X' '.']]",2,0.901522909781639
"[['O' '.' '.']
 ['O' '.' '.']
 ['X' 'X' '.']]",2,0.34390000000000004
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' 'X' 'O']]",0,0.4763157894730205
"[['X' 'O' '.']
 ['O' 'O' 'X']
 ['X' 'X' 'O']]",0,0.4999999999999998
"[['.' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' '.']]",2,0.5695327900000001
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",1,-0.17709886587872348
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",2,-0.04863074369157621
"[['.' '.' '.']
 ['.' '.' '.']
 ['X' 'O' '.']]",0,0.28086672315332123
"[['.' '.' '.']
 ['X' '.' '.']
 ['X' 'O' '.']]",1,-0.19249955031634505
"[['.' '.' '.']
 ['X' '.' '.']
 ['X' 'O' '.']]",2,-0.295867363519
